a,b,c,d,e,f,g,h,i,j,k
1,4,2,5,981,0.004077471967380225,0.0078125,0.0,0.0027259847745937553,0.0016167426679162364,0.5219164118246687
1,4,3,3,981,0.003058103975535168,0.0033370411568409346,0.0,0.0006625441981597324,0.0010138415690650665,0.9164118246687054
1,4,4,4,981,0.004077471967380225,0.005037783375314861,0.0,0.00221229825587128,0.0015960997548563562,0.8093781855249746
1,5,0,0,202,0.0,0.0,0.0,0.0,0.0,-1.0
1,5,1,3,202,0.01485148514851485,0.2222222222222222,0.0,0.037158378613272036,0.0347075245134322,0.06683168316831684
1,5,2,1,202,0.0049504950495049506,0.007936507936507936,0.0,0.0023684777160615147,0.0030642194515498673,0.6237623762376238
1,5,3,5,202,0.0198019801980198,0.5,0.0,0.03112236427047365,0.048938564306744085,0.0396039603960396
1,5,4,4,202,0.0198019801980198,0.02564102564102564,0.0,0.011323306409521752,0.006549524076922547,0.7722772277227723
1,6,0,3,541,0.005545286506469501,0.02325581395348837,0.0,0.006906737701957014,0.003704090439511597,0.2384473197781885
1,6,1,5,541,0.0073937153419593345,0.02127659574468085,0.0,0.007850504223228026,0.003790185566464657,0.34750462107208874
1,6,2,4,541,0.0073937153419593345,0.017647058823529408,0.0,0.008093245384050034,0.004409403955270464,0.41897720271102895
1,6,3,2,541,0.0036968576709796672,0.0053475935828877,0.0,0.0024912418042177266,0.0019040613647692624,0.6913123844731978
1,6,4,4,541,0.0073937153419593345,0.008368200836820083,0.0,0.004005570135440475,0.003158276988017733,0.8835489833641406
1,7,0,2,541,0.0036968576709796672,0.5,0.0,0.012456101734820616,0.032367900284263694,0.0073937153419593345
1,7,1,4,541,0.0073937153419593345,0.02083333333333333,0.0,0.008980230333367959,0.0035746225403428633,0.35489833641404805
1,7,2,4,541,0.0073937153419593345,0.009569377990430622,0.0,0.004799116563352011,0.0031417972742188802,0.7726432532347505
1,7,3,1,541,0.0018484288354898336,0.03571428571428571,0.0,0.00550850669166299,0.005783684936170132,0.05175600739371535
1,7,4,5,541,0.0073937153419593345,0.010204081632653059,0.0,0.0042450560695157895,0.002822700317318153,0.7245841035120149
1,8,0,3,827,0.003627569528415962,0.03448275862068965,0.0,0.004715739507768085,0.004676857767259593,0.10519951632406288
1,8,1,3,827,0.003627569528415962,0.014705882352941175,0.0,0.0042867159588909215,0.0023268322903173488,0.24667472793228534
1,8,2,4,827,0.004836759371221282,0.5,0.0,0.016068937967072358,0.027276753124888475,0.009673518742442565
1,8,3,5,827,0.004836759371221282,0.5,0.0,0.010977835047828382,0.02630277585300961,0.009673518742442565
1,8,4,3,827,0.003627569528415962,0.5,0.0,0.011203501093275704,0.026290188629592853,0.007255139056831924
1,9,0,2,225,0.008888888888888889,0.00909090909090909,0.0,0.0016310813303129002,0.0026339541187484377,0.977777777777778
1,9,1,4,225,0.017777777777777778,0.05882352941176471,0.0,0.02513323599379,0.010461345459927506,0.3022222222222222
1,9,2,1,225,0.004444444444444445,0.005208333333333333,0.0,0.00072636459348202,0.0017238541741407066,0.8533333333333334
1,9,3,5,225,0.017777777777777778,0.038461538461538464,0.0,0.016525459266739533,0.007777767089085763,0.4622222222222222
1,9,4,2,225,0.008888888888888889,0.010869565217391304,0.0,0.0034852495103660838,0.0041000994512793215,0.8177777777777778
1,10,0,2,327,0.006116207951070336,0.5,0.0,0.021158584628610252,0.04023979475587512,0.012232415902140671
1,10,1,5,327,0.012232415902140671,0.03448275862068965,0.0,0.011954093374518807,0.005918850217128893,0.3547400611620795
1,10,2,3,327,0.009174311926605505,0.015228426395939087,0.0,0.008826083740671923,0.004879340187611103,0.6024464831804281
1,10,3,2,327,0.006116207951070336,0.009433962264150943,0.0,0.004786909111966125,0.003448817966490034,0.6483180428134557
1,10,4,2,327,0.006116207951070336,0.5,0.0,0.01703691866476837,0.04097516845857197,0.012232415902140671
1,11,0,4,447,0.008948545861297539,0.027777777777777776,0.0,0.013452197435450515,0.005646278623114714,0.32214765100671144
1,11,1,2,447,0.0044742729306487695,0.5,0.0,0.01276460975950647,0.03571062889091775,0.008948545861297539
1,11,2,1,447,0.0022371364653243847,0.011764705882352941,0.0,0.0037291261210247897,0.002751201847308076,0.19015659955257272
1,11,3,4,447,0.008948545861297539,0.0125,0.0,0.006126755379946501,0.0032598732979459977,0.7158836689038031
